Iklan,No_Pesanan
2000,OD000000141004331
500,OD000000140996237
500,OD000000140996198
500,OD000000140993353
100,OD000000140973790
1500,OD000000140971668
500,OD000000140970846
2000,OD000000140968380
1500,OD000000140966138
1500,OD000000140959861
1500,OD000000140959076
100,OD000000140951350
500,OD000000140944241
1500,OD000000140942320
1500,OD000000140941927
100,OD000000140941467
500,OD000000140939183
2000,OD000000140937445
500,OD000000140937239
2000,OD000000140934421
2000,OD000000140922085
100,OD000000140908989
100,OD000000140897123
2000,OD000000140894871
2000,OD000000140885470
100,OD000000140886668
2000,OD000000140885129
2000,OD000000140854767
200,OD000000140850659
100,OD000000140840233